step,time_ps,strain,sigma_zz_GPa,sigma_xx_GPa,sigma_yy_GPa,temp_K,pe_eV_atom,lx_A,ly_A,lz_A,vol_A3,density_g_cm3,sigma_zz_smooth_GPa
6400,6.4,0.0063999999999984,1.22638525971566,-0.0054269329228453,-0.0140817045584169,298.84819975944,-4.83320347509361,153.883151167165,88.8492842196824,139.843906861555,1912002.92780504,4.49095190040108,1.2321460016072419
6500,6.5,0.0064999999999983,1.25383608292565,0.0162781133288894,0.0106012080401219,300.200822304336,-4.83332688157432,153.866384566318,88.8461549286032,139.829832394278,1911534.86433518,4.49205156673136,1.245591289810986
6600,6.6,0.0065999999999982,1.25391706557088,-0.0126975150374236,-0.0119352645296179,298.676901047694,-4.83320659522915,153.903584722497,88.8494334134756,139.815757927001,1911875.11092,4.49125213940702,1.2596534136120927
6700,6.7,0.0066999999999985,1.28105355940855,0.0136212128737461,0.0174245897212901,299.378289279956,-4.83348599519564,153.88694129897,88.842205967855,139.801683459725,1911320.43146468,4.49255553430061,1.2727908128708332
6800,6.8,0.0067999999999984,1.27456545067496,-0.0074617117470634,-0.0208896841944711,298.668828494305,-4.83349931934597,153.895893893011,88.8641827244177,139.787608992448,1911711.97304742,4.49163540494574,1.2871871041853602
6900,6.9,0.0068999999999983,1.30867178661247,0.0164899139250162,0.0114810434104257,300.284296213341,-4.83346357762183,153.892559603285,88.8507369982755,139.773534525171,1911188.85922886,4.49286481591522,1.300335168268782
7000,7.0,0.0069999999999982,1.30627243064264,-0.0243552015895217,-0.0093631932650191,300.486418317152,-4.83330382373109,153.931285073415,88.8592900926485,139.759460057894,1911661.30067321,4.49175446465049,1.3147253500558749
7100,7.1,0.0070999999999982,1.34470104461446,0.0258436302291975,0.0124214335701205,299.910087226395,-4.83325653772854,153.895481734874,88.8590640677261,139.745385590618,1911019.33176459,4.49326338016147,1.3278175959268372
7200,7.2,0.0071999999999985,1.33298958574899,-0.0187401762860364,-0.0162820948756542,298.63943336393,-4.83322709128928,153.922560668913,88.8746387513445,139.731311123341,1911498.06320591,4.49213804998424,1.3421744927409798
7300,7.3,0.0072999999999984,1.36647550244954,0.0208641392640934,0.0169199994451539,300.068820180044,-4.83345542075191,153.908172859793,88.8609893695287,139.717236656064,1910833.35794256,4.49370069164168,1.3551710767325396
7400,7.4,0.0073999999999983,1.35467351172789,-0.0262252467325493,-0.0141721550859321,299.066872227978,-4.83331318753762,153.943138546353,88.8757108149218,139.703162188787,1911391.54356827,4.4923883916366,1.369435723237789
7500,7.5,0.0074999999999982,1.39609615573458,0.0286833837254335,0.0184409319512627,299.938122934613,-4.83320779597311,153.914994908284,88.8681085022199,139.689087721511,1910686.1255151,4.49404696435087,1.3825872503659968
7600,7.6,0.0075999999999985,1.38261120935859,-0.0241748748596875,-0.0174863787683207,299.827059836617,-4.83306368510027,153.957267820354,88.88332580077,139.675013254234,1911345.56463586,4.49249645959986,1.3969575322382008
7700,7.7,0.0076999999999984,1.42489632859383,0.0272983312855417,0.02119655584683,300.435898998558,-4.83320222818161,153.927265958444,88.8721150545725,139.660938786957,1910539.5329235,4.49439178526661,1.4101370858909166
7800,7.8,0.0077999999999984,1.41054013369161,-0.0251905719767798,-0.0165099134368946,300.001476670221,-4.83329403768761,153.956827522463,88.8917286501052,139.646864319681,1911135.56072944,4.49299011469447,1.424203556674834
7900,7.9,0.0078999999999983,1.45050091868701,0.0285711577166216,0.0144488590467472,300.63504218873,-4.83339049907128,153.929035633605,88.8809255292038,139.632789852404,1910365.78896554,4.49480054123465,1.4376595768395666
