step,time_ps,strain,sigma_zz_GPa,sigma_xx_GPa,sigma_yy_GPa,temp_K,pe_eV_atom,lx_A,ly_A,lz_A,vol_A3,density_g_cm3
6200,6.2,0.0619999999999985,8.77633029105365,0.00276274105087209,-0.00187396744520635,299.838966383152,-4.80375603185613,157.063741787212,90.6799765491769,132.021475858608,1880320.67840114,4.56662168364805
6300,6.3,0.0629999999999988,8.90908430324846,0.000171806648593735,0.0102796658165044,300.867719640986,-4.80272035857585,157.131934114432,90.7161512355862,131.880728016541,1879881.2164028,4.56768922806162
6400,6.4,0.0639999999999987,9.03350574522479,-0.00393677142231479,-0.000900544695561934,300.658122557684,-4.80160680754196,157.20346803921,90.7587143807407,131.739980174474,1879611.31964432,4.5683451107452
6500,6.5,0.0649999999999986,9.17115594489077,0.00555399489575735,0.00567830398133271,299.746792582461,-4.80046785805639,157.264166128526,90.7966857819851,131.599232332408,1879114.00252317,4.56955414661842
6600,6.6,0.0659999999999985,9.28831295709472,-0.00219347878671409,0.000166781572079609,299.868339343142,-4.79947358605786,157.339780956789,90.8384273076222,131.458484490341,1878870.16018847,4.5701471895946
6700,6.7,0.0669999999999988,9.4166477994345,0.00303998857662657,-0.00307662333444064,300.287178733179,-4.79851103054789,157.408746807041,90.8756269708005,131.317736648274,1878450.13249297,4.57116908970199
6800,6.8,0.0679999999999987,9.54465605213793,0.0026113018627835,0.00454318841593242,298.657089821514,-4.79733882297921,157.473310163456,90.9182727550242,131.176988806207,1878087.363203,4.57205205169698
6900,6.9,0.0689999999999986,9.6676076982745,0.00262566265356752,0.000310190760707081,298.912049050065,-4.79647718414443,157.539327178926,90.9596995738884,131.036240964141,1877713.93636247,4.57296130998142
7000,7,0.0699999999999989,9.79231873073998,0.00276486952694161,-0.000822080836130492,299.216142318716,-4.79529392328085,157.612092969906,91.0004496379813,130.895493122074,1877404.1258001,4.57371594330498
7100,7.1,0.0709999999999987,9.91699973777398,-0.00418465636857505,0.00511284085203488,299.753551627091,-4.79403388934884,157.691473523098,91.0392435901205,130.754745280007,1877129.82924616,4.57438427988053
