case,label,frame,strain,anomaly_score_mean,anomaly_fraction
108k_1e10,"Ti 108k, 1e10 s^-1",17,0.12600001692771912,0.027751839997585223,0.764
108k_1e10,"Ti 108k, 1e10 s^-1",18,0.12800002098083496,0.037947149874137956,0.835
108k_1e10,"Ti 108k, 1e10 s^-1",19,0.12999999523162842,0.04165721888803979,0.884
108k_1e10,"Ti 108k, 1e10 s^-1",20,0.13199998438358307,0.047224278701380996,0.912
108k_1e10,"Ti 108k, 1e10 s^-1",21,0.1340000331401825,0.050641530986173244,0.932
108k_1e10,"Ti 108k, 1e10 s^-1",22,0.13600002229213715,0.0530278369683566,0.929
108k_1e10,"Ti 108k, 1e10 s^-1",23,0.1379999965429306,0.059282604282258435,0.961
108k_1e10,"Ti 108k, 1e10 s^-1",24,0.14000000059604645,0.06180215021348625,0.975
108k_1e10,"Ti 108k, 1e10 s^-1",25,0.1419999897480011,0.06587803541551412,0.984
108k_1e10,"Ti 108k, 1e10 s^-1",26,0.14400002360343933,0.06827499850640717,0.986
108k_1e10,"Ti 108k, 1e10 s^-1",27,0.1459999978542328,0.0715548439715563,0.993
108k_1e10,"Ti 108k, 1e10 s^-1",28,0.14800000190734863,0.07382647176839223,0.996
108k_1e10,"Ti 108k, 1e10 s^-1",29,0.15000000596046448,0.07582223043119071,0.997
108k_1e10,"Ti 108k, 1e10 s^-1",30,0.15199996531009674,0.07792195207787636,0.998
108k_1e10,"Ti 108k, 1e10 s^-1",31,0.15399999916553497,0.08035662475842491,0.999
108k_1e10,"Ti 108k, 1e10 s^-1",32,0.15599998831748962,0.08337317036282808,0.999
108k_1e10,"Ti 108k, 1e10 s^-1",33,0.15800000727176666,0.08372863972659252,1.0
108k_1e10,"Ti 108k, 1e10 s^-1",34,0.1599999964237213,0.08698264583394454,1.0
108k_1e10,"Ti 108k, 1e10 s^-1",35,0.16199997067451477,0.09061480161650931,1.0
108k_1e10,"Ti 108k, 1e10 s^-1",36,0.1640000194311142,0.09357609592331148,0.999
108k_1e10,"Ti 108k, 1e10 s^-1",37,0.16599996387958527,0.09789432393752602,0.997
108k_1e10,"Ti 108k, 1e10 s^-1",38,0.1679999977350235,0.10367930077794264,0.992
108k_1e10,"Ti 108k, 1e10 s^-1",39,0.17000000178813934,0.10789477637743175,0.994
108k_1e10,"Ti 108k, 1e10 s^-1",40,0.1720000058412552,0.11144906998621655,0.987
108k_1e10,"Ti 108k, 1e10 s^-1",41,0.17399999499320984,0.1105250233565755,0.964
108k_1e10,"Ti 108k, 1e10 s^-1",42,0.17600002884864807,0.10532416023713094,0.937
108k_1e10,"Ti 108k, 1e10 s^-1",43,0.17799998819828033,0.0955343229917703,0.865
108k_1e10,"Ti 108k, 1e10 s^-1",44,0.18000003695487976,0.0888024487336337,0.826
108k_1e10,"Ti 108k, 1e10 s^-1",45,0.1900000274181366,0.07305437496984607,0.795
108k_1e10,"Ti 108k, 1e10 s^-1",46,0.20000003278255463,0.07070533849215468,0.8
108k_1e10,"Ti 108k, 1e10 s^-1",47,0.21000002324581146,0.06885070380765299,0.802
108k_1e10,"Ti 108k, 1e10 s^-1",48,0.2200000137090683,0.06617801784276472,0.795
108k_1e10,"Ti 108k, 1e10 s^-1",49,0.23000000417232513,0.06763903179072119,0.794
108k_1e10,"Ti 108k, 1e10 s^-1",50,0.23999997973442078,0.06973874235887823,0.802
108k_1e10,"Ti 108k, 1e10 s^-1",51,0.25,0.07148016119077684,0.811
