case,label,frame,strain,mds1,mds2
108k_1e9,"Ti 108k, 1e9 s^-1",23,0.138,-0.014712553825558037,0.023199411099620593
108k_1e9,"Ti 108k, 1e9 s^-1",24,0.1399999999999999,-0.015129740494203002,0.024012246098563766
108k_1e9,"Ti 108k, 1e9 s^-1",25,0.142,-0.014519606744245035,0.02655381875270103
108k_1e9,"Ti 108k, 1e9 s^-1",26,0.144,-0.014574071400034345,0.028090177485883546
108k_1e9,"Ti 108k, 1e9 s^-1",27,0.1459999999999998,-0.01506403555687571,0.02903893191646339
108k_1e9,"Ti 108k, 1e9 s^-1",28,0.148,-0.015837314346923124,0.02955476192324929
108k_1e9,"Ti 108k, 1e9 s^-1",29,0.15,-0.015731293072339753,0.03194662236562839
108k_1e9,"Ti 108k, 1e9 s^-1",30,0.1519999999999999,-0.016802735477776807,0.032988613901851434
108k_1e9,"Ti 108k, 1e9 s^-1",31,0.154,-0.015498085514721757,0.035394842626021515
108k_1e9,"Ti 108k, 1e9 s^-1",32,0.1559999999999999,-0.01486466572778538,0.03514712228389437
108k_1e9,"Ti 108k, 1e9 s^-1",33,0.1579999999999999,0.003996580274607679,0.004394974183852439
108k_1e9,"Ti 108k, 1e9 s^-1",34,0.1600000000000001,0.018473530756755167,-0.018910652852582522
108k_1e9,"Ti 108k, 1e9 s^-1",35,0.1619999999999999,0.021282717400141996,-0.02124054222262781
108k_1e9,"Ti 108k, 1e9 s^-1",36,0.1640000000000001,0.020502976637957488,-0.02345678393546
108k_1e9,"Ti 108k, 1e9 s^-1",37,0.166,0.022243171093030874,-0.022829546462397928
108k_1e9,"Ti 108k, 1e9 s^-1",38,0.1679999999999999,0.02266823574055352,-0.022887793670237994
108k_1e9,"Ti 108k, 1e9 s^-1",39,0.17,0.021880482112599086,-0.024112386406288204
108k_1e9,"Ti 108k, 1e9 s^-1",40,0.172,0.02036437046120171,-0.024645672640430334
108k_1e9,"Ti 108k, 1e9 s^-1",41,0.1739999999999999,0.022448145271561224,-0.0226107445973661
108k_1e9,"Ti 108k, 1e9 s^-1",42,0.176,0.02114091640868235,-0.025315931458224836
108k_1e9,"Ti 108k, 1e9 s^-1",43,0.178,0.020805604353861334,-0.025020278955766303
108k_1e9,"Ti 108k, 1e9 s^-1",44,0.18,0.020555427513745637,-0.02506386759571343
108k_1e9,"Ti 108k, 1e9 s^-1",45,0.1899999999999999,0.01824603586817264,-0.02517598886310919
108k_1e9,"Ti 108k, 1e9 s^-1",46,0.2,0.01739990199277107,-0.023814151552205703
108k_1e9,"Ti 108k, 1e9 s^-1",47,0.21,0.01671418165225048,-0.023619440177064237
108k_1e9,"Ti 108k, 1e9 s^-1",48,0.2199999999999999,0.015367095825111298,-0.022853704634514485
108k_1e9,"Ti 108k, 1e9 s^-1",49,0.23,0.014471083981323562,-0.023080584909943847
108k_1e9,"Ti 108k, 1e9 s^-1",50,0.2399999999999999,0.012985810861979342,-0.022042727868912572
108k_1e9,"Ti 108k, 1e9 s^-1",51,0.25,0.012777147400792877,-0.022466625964872547
108k_1e10,"Ti 108k, 1e10 s^-1",0,0.0,0.019948270323788406,-0.0365948667057322
108k_1e10,"Ti 108k, 1e10 s^-1",1,0.01,0.016107548618415752,-0.03491794820728047
108k_1e10,"Ti 108k, 1e10 s^-1",2,0.0200000000000001,0.012969554939855299,-0.03270315983283912
108k_1e10,"Ti 108k, 1e10 s^-1",3,0.0299999999999998,0.00917023044970679,-0.030825377711088467
108k_1e10,"Ti 108k, 1e10 s^-1",4,0.0399999999999999,0.006069300944916077,-0.028017225029168882
108k_1e10,"Ti 108k, 1e10 s^-1",5,0.05,0.0035609899332501084,-0.02413983396221206
108k_1e10,"Ti 108k, 1e10 s^-1",6,0.06,0.00041957128180186097,-0.021221267672592744
108k_1e10,"Ti 108k, 1e10 s^-1",7,0.0700000000000001,-0.002158152819165954,-0.016954294856957437
108k_1e10,"Ti 108k, 1e10 s^-1",8,0.0799999999999998,-0.0052059243613053864,-0.01281459177645765
